id,titulo,orcamento,bilheteria_mundial,duracao_minutos,nota_media,numero_votos,metascore,produtoras,locacoes_filmagem
tt8267604,Capernaum,4000000.0,64417003.0,126.0,8.4,125920.0,75.0,"[{'id': 'co0694202', 'name': 'Mooz Films'}, {'id': 'co0739287', 'name': 'Cedrus Invest Bank'}, {'id': 'co0739288', 'name': 'Sunnyland Film'}]","['Cola, Beirut, Lebanon']"
tt0045152,Singin' in the Rain,2540800.0,2113091.0,103.0,8.3,284620.0,99.0,"[{'id': 'co0054683', 'name': ""Loew's""}]","['Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA']"
tt0087843,Once Upon a Time in America,30000000.0,5476424.0,229.0,8.3,410505.0,75.0,"[{'id': 'co0042559', 'name': 'The Ladd Company'}, {'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0035468', 'name': 'Producers Sales Organization (PSO)'}]","['Cinecittà Studios, Cinecittà, Rome, Lazio, Italy']"
tt7286456,Joker,55000000.0,1078958629.0,122.0,8.3,1713349.0,59.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0108864', 'name': 'Village Roadshow Pictures'}, {'id': 'co0309252', 'name': 'BRON Studios'}]","['Joker Stairs - 1165 Shakespeare Avenue, The Bronx, New York City, New York, USA']"
tt0435761,Toy Story 3,200000000.0,1067316101.0,103.0,8.3,984316.0,92.0,"[{'id': 'co0008970', 'name': 'Walt Disney Pictures'}, {'id': 'co0017902', 'name': 'Pixar Animation Studios'}]","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']"
tt0086190,Star Wars: Episode VI - Return of the Jedi,32500000.0,482466382.0,131.0,8.3,1218630.0,58.0,"[{'id': 'co0071326', 'name': 'Lucasfilm'}]","['Miller-Rellim Redwood Company Property - Morrison Creek Road, Smith River, California, USA']"
tt0091251,Come and See,,20929648.0,142.0,8.3,125248.0,,"[{'id': 'co0114140', 'name': 'Belarusfilm'}, {'id': 'co0917448', 'name': 'Mosfilm'}]",['Soviet Union']
tt0180093,Requiem for a Dream,4500000.0,7391471.0,102.0,8.3,980635.0,71.0,"[{'id': 'co0014903', 'name': 'Artisan Entertainment'}, {'id': 'co0042682', 'name': 'Thousand Words'}, {'id': 'co0067219', 'name': 'Sibling Productions'}]","['Coney Island, Brooklyn, New York City, New York, USA']"
tt0044741,Ikiru,,112105.0,143.0,8.3,103315.0,92.0,"[{'id': 'co0002219', 'name': 'Toho'}]","['Tokyo, Japan']"
tt1255953,Incendies,6800000.0,6788782.0,131.0,8.3,256228.0,80.0,"[{'id': 'co0089507', 'name': 'micro_scope'}, {'id': 'co0011118', 'name': 'TS Productions'}, {'id': 'co0246496', 'name': 'Phi Group'}]","['Amman, Jordan']"
tt2106476,The Hunt,20000000.0,15886373.0,115.0,8.3,414922.0,77.0,"[{'id': 'co0136662', 'name': 'Zentropa Entertainments'}, {'id': 'co0001935', 'name': 'Film i Väst'}, {'id': 'co0338571', 'name': 'Zentropa International Sweden'}]","['Høje Taastrup Kirke, Taastrup, Denmark']"
tt0338013,Eternal Sunshine of the Spotless Mind,20000000.0,72944255.0,108.0,8.3,1190603.0,89.0,"[{'id': 'co0042399', 'name': 'Focus Features'}, {'id': 'co0017525', 'name': 'Anonymous Content'}, {'id': 'co0017713', 'name': 'This Is That Productions'}]","['Montauk, New York, USA']"
tt0053604,The Apartment,3000000.0,18783770.0,125.0,8.3,221986.0,94.0,"[{'id': 'co0011112', 'name': 'The Mirisch Corporation'}]","['Majestic Theater, 247 West 44th Street, Manhattan, New York City, New York, USA']"
tt0056172,Lawrence of Arabia,15000000.0,46341756.0,227.0,8.3,344195.0,100.0,"[{'id': 'co0103190', 'name': 'Horizon Pictures (II)'}]","['Wadi Rum, Jordan']"
tt0113277,Heat,60000000.0,187436818.0,170.0,8.3,813355.0,76.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0007127', 'name': 'New Regency Productions'}, {'id': 'co0035930', 'name': 'Forward Pass'}]","['1219 Dodds Circle, East Los Angeles, California, USA']"
tt0086250,Scarface,50000000.0,66443303.0,170.0,8.3,1027530.0,65.0,"[{'id': 'co0005073', 'name': 'Universal Pictures'}, {'id': 'co0056556', 'name': 'Martin Bregman Productions'}]","['485 West Matheson Drive, Key Biscayne, Florida, USA']"
tt0105236,Reservoir Dogs,1200000.0,2942225.0,99.0,8.2,1177043.0,81.0,"[{'id': 'co0049954', 'name': 'Live Entertainment'}, {'id': 'co0112857', 'name': 'Dog Eat Dog Productions Inc.'}, {'id': 'co0019267', 'name': 'A Band Apart'}]","['5860 North Figueroa Street, Highland Park, Los Angeles, California, USA']"
tt0062622,2001: A Space Odyssey,12000000.0,70035962.0,149.0,8.3,788945.0,84.0,"[{'id': 'co0007143', 'name': 'Metro-Goldwyn-Mayer (MGM)'}, {'id': 'co0038089', 'name': 'Stanley Kubrick Productions'}]","['Isle of Harris, Western Isles, Scotland, UK']"
tt1049413,Up,175000000.0,735103954.0,96.0,8.3,1248713.0,88.0,"[{'id': 'co0008970', 'name': 'Walt Disney Pictures'}, {'id': 'co0017902', 'name': 'Pixar Animation Studios'}]","['Pixar Animation Studios - 1200 Park Avenue, Emeryville, California, USA']"
tt33175825,Attack on Titan: The Last Attack,,25956985.0,145.0,8.9,34139.0,,"[{'id': 'co0376600', 'name': 'Mappa'}]",[]
tt0036775,Double Indemnity,927262.0,22760.0,107.0,8.3,182581.0,95.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}]","['6301 Quebec Drive, Hollywood Hills, Los Angeles, California, USA']"
tt0986264,Like Stars on Earth,,21897373.0,162.0,8.3,234781.0,,"[{'id': 'co0026618', 'name': 'Aamir Khan Productions'}, {'id': 'co0173735', 'name': 'PVR Pictures'}]","['Panchgani, Maharashtra, India']"
tt0053125,North by Northwest,3101000.0,209478.0,136.0,8.3,370397.0,98.0,"[{'id': 'co0007143', 'name': 'Metro-Goldwyn-Mayer (MGM)'}]","['13296 Corcoran Rd, Wasco, California, USA']"
tt0093058,Full Metal Jacket,30000000.0,50879079.0,116.0,8.2,855845.0,78.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0001865', 'name': 'Natant'}, {'id': 'co0038089', 'name': 'Stanley Kubrick Productions'}]","['Isle of Dogs, London, Greater London, England, UK']"
tt1832382,A Separation,500000.0,22926076.0,123.0,8.3,279413.0,95.0,"[{'id': 'co0620175', 'name': 'Asghar Farhadi Productions'}, {'id': 'co0259212', 'name': 'Dreamlab Films'}, {'id': 'co0620176', 'name': 'MPA APSA Academy Film Fund'}]","['Tehran, Iran']"
tt0022100,M,,35566.0,99.0,8.3,183756.0,,"[{'id': 'co0036089', 'name': 'Nero-Film AG'}]","['Staaken, Spandau, Berlin, Germany']"
tt0211915,Amélie,10000000.0,175556376.0,122.0,8.2,844309.0,70.0,"[{'id': 'co0125555', 'name': 'Claudie Ossard Productions'}, {'id': 'co0069524', 'name': 'Union Générale Cinématographique (UGC)'}, {'id': 'co0072800', 'name': 'Victoires Productions'}]","['Rue des Trois-Frères, Paris 18, Paris, France']"
tt31514146,I Swear,,16063720.0,120.0,8.4,56102.0,70.0,"[{'id': 'co0749499', 'name': 'One Story High'}, {'id': 'co0104718', 'name': 'Tempo Productions'}, {'id': 'co0463976', 'name': 'StudioCanal Films'}]","['Milngavie, East Dunbartonshire, Scotland, UK']"
tt0095016,Die Hard,28000000.0,143651650.0,132.0,8.2,1035655.0,72.0,"[{'id': 'co0000756', 'name': '20th Century Fox'}, {'id': 'co0119038', 'name': 'Gordon Company'}, {'id': 'co0019968', 'name': 'Silver Pictures'}]","['Fox Plaza - 2121 Avenue of the Stars, Century City, Los Angeles, California, USA']"
tt0052357,Vertigo,2479000.0,8000605.0,128.0,8.2,461004.0,100.0,"[{'id': 'co0137799', 'name': 'Alfred J. Hitchcock Productions'}]","['Fort Point, Presidio, Golden Gate National Recreation Area, San Francisco, California, USA']"
tt0033467,Citizen Kane,839727.0,1967994.0,119.0,8.2,495133.0,100.0,"[{'id': 'co0041421', 'name': 'RKO Radio Pictures'}, {'id': 'co0003016', 'name': 'Mercury Productions'}]","['Busch Gardens - S. Grove Avenue, Pasadena, California, USA']"
tt0056592,To Kill a Mockingbird,2000000.0,611817.0,129.0,8.2,352213.0,88.0,"[{'id': 'co0110362', 'name': 'Pakula-Mulligan'}, {'id': 'co0110361', 'name': 'Brentwood Productions'}]","['Monroeville, Alabama, USA']"
tt0097576,Indiana Jones and the Last Crusade,48000000.0,474171806.0,127.0,8.2,868193.0,65.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0071326', 'name': 'Lucasfilm'}]","['Moab, Utah, USA']"
tt0070735,The Sting,5500000.0,156005969.0,129.0,8.2,304219.0,83.0,"[{'id': 'co0019166', 'name': 'Zanuck/Brown Productions'}, {'id': 'co0005073', 'name': 'Universal Pictures'}]","['Union Station - Canal St. & Jackson Blvd., Near West Side, Chicago, Illinois, USA']"
tt0058625,Woman in the Dunes,,,147.0,8.4,25791.0,,"[{'id': 'co0024079', 'name': 'Toho Film (Eiga) Co. Ltd.'}, {'id': 'co0004532', 'name': 'Teshigahara Productions'}]","['Tottori Sand Dunes, Tottori prefecture, Japan']"
tt0066921,A Clockwork Orange,2200000.0,27193679.0,136.0,8.2,941289.0,77.0,"[{'id': 'co0002663', 'name': 'Warner Bros.'}, {'id': 'co0734629', 'name': 'Polaris Productions'}, {'id': 'co0113563', 'name': 'Hawk Films'}]","['Binsey Walk, Southmere Lake, Thamesmead South, London, England, UK']"
tt0017136,Metropolis,6000000.0,1354287.0,150.0,8.2,202365.0,98.0,"[{'id': 'co0021661', 'name': 'Universum Film (UFA)'}]","['Berlin, Germany']"
tt8579674,1917,95000000.0,446064352.0,119.0,8.2,780477.0,78.0,"[{'id': 'co0819670', 'name': 'DreamWorks Pictures'}, {'id': 'co0336601', 'name': 'Reliance Entertainment'}, {'id': 'co0644194', 'name': 'New Republic Pictures'}]","['Govan Graving Docks, Glasgow, Glasgow City, Scotland, UK']"
tt0208092,Snatch,6000000.0,83558617.0,102.0,8.2,981803.0,55.0,"[{'id': 'co0010568', 'name': 'Screen Gems'}, {'id': 'co0000750', 'name': 'SKA Films'}]","['Hatton Garden, Clerkenwell, London, Greater London, England, UK']"
tt0993846,The Wolf of Wall Street,100000000.0,407039432.0,180.0,8.2,1812224.0,75.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0325207', 'name': 'Red Granite Pictures'}, {'id': 'co0088354', 'name': 'Appian Way'}]","['Portofino, Genoa, Liguria, Italy']"
tt0120382,The Truman Show,60000000.0,264118712.0,103.0,8.2,1393901.0,90.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0093765', 'name': 'Scott Rudin Productions'}]","['Seaside, Florida, USA']"
tt0363163,Downfall,13500000.0,92181574.0,156.0,8.2,402579.0,82.0,"[{'id': 'co0002257', 'name': 'Constantin Film'}, {'id': 'co0028284', 'name': 'Norddeutscher Rundfunk (NDR)'}, {'id': 'co0075650', 'name': 'Westdeutscher Rundfunk (WDR)'}]","['St. Petersburg, Russia']"
tt0119488,L.A. Confidential,35000000.0,126216940.0,138.0,8.2,661475.0,91.0,"[{'id': 'co0867908', 'name': 'Regency Enterprises'}, {'id': 'co0089381', 'name': 'The Wolper Organization'}]","['Frolic Room - 6245 Hollywood Blvd., Hollywood, Los Angeles, California, USA']"
tt1130884,Shutter Island,80000000.0,294978537.0,138.0,8.2,1670330.0,63.0,"[{'id': 'co0023400', 'name': 'Paramount Pictures'}, {'id': 'co0029574', 'name': 'Phoenix Pictures'}, {'id': 'co0141038', 'name': 'Sikelia Productions'}]","['Peddocks Island, Boston Harbor, Boston, Massachusetts, USA']"
